Latitude,Longittude,Company Name,,,City
-2.609012,112.403397,Haag Group,,,Bangkal
48.3696989,42.1773513,Jenkins Inc,,,Chernyshkovskiy
52.8186154,20.3301247,"Mitchell, Quitzon and Rosenbaum",,,Glinojeck
48.9088164,13.8865743,Parisian-Satterfield,,,Volary
52.671181,18.78031,"Gusikowski, Johns and Rogahn",,,Krotoszyn
53.8168303,49.0891636,Haley-Kunde,,,Khryashchevka
8.0076463,-80.9815817,Okuneva-Hartmann,,,La Colorada
37.1356467,-8.5174744,"Haag, Gibson and Ankunding",,,Parchal
59.2691081,17.8651957,"Marvin, Weimann and Cummerata",,,Vårby
53.1001509,34.0612529,Rohan LLC,,,Vygonichi
48.9969392,31.4022422,Paucek-Erdman,,,Shpola
54.0295572,15.0548688,"Nikolaus, Schroeder and Zulauf",,,Karnice
11.1051054,122.642712,Rice Group,,,Jaguimitan
30.89441,120.086809,Schumm-Stroman,,,Huzhou
42.9786866,141.8352113,Rempel Group,,,Iwanai
39.6611469,20.1789757,Hirthe-Cremin,,,Konispol
39.160163,117.201917,Hamill LLC,,,Jietou
50.0360024,22.0152079,"Bailey, Botsford and Fahey",,,Rzeszów
56.0586318,21.5677773,Rempel and Sons,,,Salantai
14.5508865,121.0075554,"Morar, Zulauf and Greenholt",,,San Antonio
41.226934,-8.3815652,Morar Group,,,Valinhos
59.9026039,10.767309,Hilpert-Kuhn,,,Oslo
30.762716,115.190725,"Huels, Wehner and Champlin",,,Dandian
50.1801755,28.7362455,Kovacek-Beer,,,Ozerne
42.3416847,69.590101,"Bradtke, Von and Ernser",,,Shymkent
43.5827565,19.5266606,Simonis Inc,,,Priboj
38.6244719,21.4095934,"Kreiger, Murazik and Bernier",,,Agrínio
27.582186,113.358645,Watsica Inc,,,Shanling
17.1939768,120.4485002,Parker Group,,,Candon
26.8844636,-81.734942,"Johns, Stiedemann and Kub",,,Punta Gorda
24.629264,118.041444,Zulauf Group,,,Houxi
52.2802311,10.5390217,"Doyle, Schuppe and Walsh",,,Braunschweig
49.7370109,17.427878,"Balistreri, Goodwin and Lynch",,,Město Libavá
35.7029747,53.3420351,Ruecker Inc,,,Mahdishahr
33.6835086,-7.3848547,Langworth and Sons,,,Mohammedia
37.705473,22.7494193,Krajcik and Sons,,,Monastirákion
43.5370504,24.7458579,Little LLC,,,Gulyantsi
45.3727904,40.829856,Raynor and Sons,,,Ventsy
38.6754819,46.1117612,Berge Group,,,Varazqān
41.005341,71.236153,Leffler and Sons,,,Namangan Shahri
18.4520713,1.4096535,"Hoppe, Hoeger and Bins",,,Kidal
-7.0606502,108.9264524,Williamson-Heathcote,,,Larangan
14.6561238,-16.2345633,Schaden-Bauch,,,Diourbel
49.8368614,20.6802794,"Mosciski, Koss and Daugherty",,,Czchów
44.6381341,41.9381568,Sipes LLC,,,Nevinnomyssk
-6.201062,106.5746124,Ledner-Weber,,,Jatake
50.4273892,124.1226608,"Schmidt, Jacobson and Dibbert",,,Gaoxing
32.9578909,-102.8518139,"Smith, Ebert and Wiza",,,Amarillo
27.734109,112.535036,Marks LLC,,,Xiangxiang
40.4690667,-8.1110545,"Orn, Bailey and Fisher",,,Soito
-7.3032329,108.6591293,Fisher LLC,,,Majingklak
45.4032761,-73.9503607,Hermiston-Ruecker,,,Sainte-Anne-de-Bellevue
-24.9852879,-55.1513801,"Schroeder, Walker and Lind",,,Itaquyry
41.410051,-7.4489531,Mann and Sons,,,Murça
41.4378689,2.196618,Luettgen LLC,,,Barcelona
-10.459783,-40.1868956,Gutkowski-Dooley,,,Senhor do Bonfim
52.1949456,35.0572656,Durgan Inc,,,Pervoavgustovskiy
47.6329545,7.4839022,"Batz, Hermann and Medhurst",,,Saint-Louis
38.79,-77.19,"Abernathy, Kuvalis and Balistreri",,,Springfield
37.7378509,138.7970925,Hoppe-Franecki,,,Naze
24.588267,115.415276,"Hegmann, Luettgen and Funk",,,Mabugang
14.6592829,121.0483527,Connelly LLC,,,Naga
14.5925105,121.0404991,Schaden-Weber,,,Pilar
12.9447713,121.7248195,Predovic-Schumm,,,Mahaba
-6.5472126,106.8384873,Rolfson-Dooley,,,Pasirlaja
-13.1638737,-74.2235641,"Bednar, Ratke and Rau",,,Pujocucho
37.489877,117.509921,Friesen-Kulas,,,Huimin
57.1785037,14.0676645,"Bruen, Christiansen and Jaskolski",,,Värnamo
38.7554084,-9.3408903,"Robel, Donnelly and Turner",,,Varge Mondar
14.5891663,-90.5326336,Goldner-Hartmann,,,Monjas
40.77,-73.53,"Kshlerin, Senger and Watsica",,,Hicksville
53.948639,46.6995979,Fahey-Schoen,,,Glotovka
61.126827,10.4388999,Hauck-Kiehn,,,Lillehammer
-32.9817511,-60.6944851,"Donnelly, Gleichner and Hettinger",,,Camilo Aldao
35.5138298,24.0180367,"Rolfson, Mann and Kuvalis",,,Chaniá
-25.4302418,-55.2590707,"Ziemann, Moen and Wintheiser",,,Doctor Juan León Mallorquín
31.627447,121.022581,Walsh LLC,,,Henglu
31.6173469,131.0471926,"Koelpin, Russel and Beer",,,Miyakonojō
41.4636032,69.1809574,Mitchell-Bashirian,,,Saryaghash
48.9875598,2.2971584,Carter Group,,,Soisy-sous-Montmorency
50.1676885,23.0349969,Parker-Mosciski,,,Oleszyce
22.919769,113.618216,"Gusikowski, Stoltenberg and Franecki",,,Chatian
41.375722,121.781518,Cole-Reilly,,,Goubangzi
30.402167,112.899762,Rolfson-Zboncak,,,Qianjiang
27.661918,120.565793,"Ledner, Spinka and Marquardt",,,Pingyang
39.1285479,-9.0355159,"Cronin, Terry and Haley",,,Estribeiro
28.644598,77.069038,Wilderman-Murazik,,,Hema
36.10306,127.48889,"Mante, Renner and Vandervort",,,Kinzan
48.8312275,16.0250895,Weissnat-Trantow,,,Konice
34.75,10.78333,"Gleason, Heaney and Rippin",,,Al Qarmadah
